last_name, first_name,player_id,year,xba,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,
Ramirez, Jose,608070,2023,.296,89.8,37,7.3,6.6,39.8,
Arraez, Luis,650333,2023,.318,87.9,42.9,2.7,3.1,24.2,
Baez, Javier,595879,2023,.235,88,27.7,4,7.3,38.8,
Acuna Jr., Ronald,660670,2023,.348,94.8,33.1,14,9.2,55.3,
Rosario, Eddie,592696,2023,.259,89.2,37.8,10.5,6.5,36,
Yoshida, Masataka,807799,2023,.272,89.2,28,6,4.2,41.6,
Ward, Taylor,621493,2023,.252,90.7,34,8.2,6,43.9,
Contreras, Willson,575929,2023,.273,91.7,34.8,11.5,6.7,46.7,
Arozarena, Randy,668227,2023,.245,92.1,32.3,12.3,8.6,49.2,
Rosario, Amed,642708,2023,.272,88.4,34.4,3.5,6.2,39.8,
Grisham, Trent,663757,2023,.216,91,33.1,13.8,7.7,41.9,
Santana, Carlos,467793,2023,.238,89.2,33.9,6.8,5.1,37,
Realmuto, J.T.,592663,2023,.244,89.2,36.3,11.4,7.5,41.6,
Olson, Matt,621566,2023,.257,94.8,31.3,18.2,9.5,57.7,
Call, Alex,669743,2023,.222,86.6,30.9,5.1,5.1,29.8,
Kim, Ha-Seong,673490,2023,.249,86.7,36.4,5.1,6.3,29.2,
Diaz, Elias,553869,2023,.249,88.3,31.5,7,4,40.7,
Soler, Jorge,624585,2023,.253,90.9,35.1,15.1,10.2,47.1,
McMahon, Ryan,641857,2023,.247,90.7,37.9,11.7,5.4,44,
Semien, Marcus,543760,2023,.259,88.4,35.9,6,7.3,37.4,
Profar, Jurickson,595777,2023,.245,86.7,37.7,3.9,5.1,32.3,
Bogaerts, Xander,593428,2023,.255,87.9,29.7,6.8,4.7,35.8,
Lowe, Nathaniel,663993,2023,.263,89.9,36.5,7,6.2,40.5,
Castellanos, Nick,592206,2023,.262,89.1,35.7,10.7,7,44.1,
Casas, Triston,671213,2023,.250,91.5,36.2,14.4,6.6,46.3,
Ruiz, Esteury,665923,2023,.228,82.9,32.7,1.7,3.4,19.9,
Straw, Myles,664702,2023,.238,86.7,33.5,0.6,1.9,24.5,
Garcia, Adolis,666969,2023,.253,92,36.6,15.7,9.4,49.5,
Correa, Carlos,621043,2023,.245,90,30,9.5,6.7,44.6,
